0;word;слово;frequency;sentiment
1;possible;возможный;446;1
2;use;использование;12;0
3;i;я;2641;0
4;here;Вот;309;0
5;equal;равный;12;0
6;exact;точный;24;1
7;save;спасти;23;0
8;entire;все;37;0
9;valid;действительный;32;1
10;invalid;недействительным;19;-10
11;most;самый;65;1
12;small;маленький;64;-1
13;now;сейчас;415;-1
14;more;Больше;280;0
15;less;Меньше;33;-1
16;already;уже;141;0
17;there;там;522;0
18;best;Лучший;232;1
19;refresh;обновление;14;1
20;floated;;1;0
21;not;не;2226;-1
22;only;только;701;1
23;new;новый;910;1
24;old;старый;89;-1
25;sample;образец;77;0
26;better;лучше;81;1
27;perhaps;возможно;23;-1
28;right;право;219;1
29;visual;визуальный;105;0
30;live;жить;9;-1
31;yet;еще;31;0
32;ready;готовы;13;1
33;so;так;589;0
34;disable;запрещать;24;-1
35;automatic;автоматический;18;1
36;temporarily;;5;-1
37;also;также;529;1
38;web;Web;161;0
39;table;Таблица;83;0
40;newly;вновь;18;1
41;f;е;25;0
42;top;Топ;72;0
43;weird;странный;17;-1
44;least;наименее;40;-1
45;once;один раз;78;0
46;filter;фильтр;44;0
47;properly;должным образом;71;1
48;hardly;;2;-1
49;intended;предназначена;7;0
50;current;ток;207;0
51;required;требуется;24;-1
52;row;строка;13;0
53;directly;непосредственно;57;0
54;significant;значительное;7;0
55;additional;дополнительный;77;0
56;always;всегда;141;1
57;load;нагрузка;17;-1
58;evaluate;;1;0
59;public;общественности;197;0
60;partial;частичный;36;0
61;total;Всего;69;1
62;context;контекст;20;0
63;various;различный;40;0
64;main;главный;150;0
65;standard;стандарт;61;1
66;add;добавлять;56;-1
67;serious;;6;0
68;due;в связи;35;0
69;thus;таким образом;28;0
70;much;много;102;1
71;large;большой;56;1
72;really;действительно;90;0
73;even;четное;206;-1
74;still;еще;177;0
75;basically;в принципе;34;0
76;advanced;;3;0
77;as;как;207;0
78;full;полный;67;1
79;blown;;1;0
80;hello;Привет;68;-10
81;attached;приложенный;312;0
82;enable;включить;21;0
83;disabled;отключен;28;-1
84;first;первый;424;0
85;separate;отдельный;48;0
86;receive;;2;0
87;second;второй;193;0
88;positive;;4;0
89;double;двойной;74;0
90;touch;потрогать;15;0
91;other;Другой;460;0
92;last;прошлой;145;-1
93;focused;сосредоточены;32;0
94;again;снова;180;-1
95;next;следующий;123;0
96;exist;;2;0
97;very;очень;231;-1
98;critical;критический;11;-1
99;down;вниз;33;0
100;relevant;Соответствующий;15;1
101;same;так же;584;0
102;true;правда;484;1
103;please;пожалуйста;55;-10
104;search;поиск;7;0
105;user;пользователь;109;0
106;either;;5;0
107;multiple;множественный;126;0
108;then;затем;653;0
109;tab;табуляция;15;0
110;address;;5;0
111;lots;;1;0
112;primary;первичный;12;0
113;single;не замужем;116;0
114;able;в состоянии;395;1
115;initial;начальная;50;0
116;active;активный;45;0
117;x;Икс;57;0
118;return;;5;0
119;welcome;;2;0
120;visible;видимый;255;-1
121;thanks;;6;0
122;good;хорошо;110;10
123;correctly;правильно;178;1
124;whole;все;56;0
125;soon;скоро;51;1
126;wrong;неправильно;162;-10
127;update;Обновить;53;0
128;fine;отлично;222;1
129;certain;определенный;69;0
130;exception;;2;0
131;related;связанные с;38;0
132;strongly;;2;0
133;typed;;1;0
134;loading;погрузка;22;0
135;following;следующий;243;0
136;just;просто;383;1
137;odd;странный;9;0
138;back;назад;148;0
139;different;разные;275;-1
140;vary;;1;0
141;red;красный;42;0
142;chart;диаграмма;18;0
143;focus;;3;0
144;nearly;около;8;0
145;local;местный;30;0
146;label;этикетка;17;0
147;expected;ожидаемый;12;1
148;calculated;вычисленный;23;0
149;short;короткая;21;-1
150;empty;пустой;118;0
151;furthermore;;3;0
152;blank;пустой;36;-1
153;big;большой;42;1
154;apply;применять;8;0
155;helper;;5;0
156;column;колонка;9;0
157;almost;почти;26;-1
158;impossible;невозможно;26;-10
159;many;много;155;1
160;open;открыть;128;0
161;currently;В настоящее время;177;1
162;original;оригинал;42;0
163;w;вес;7;0
164;instead;вместо;191;-1
165;correct;правильный;106;1
166;strange;странный;45;-10
167;originally;первоначально;7;0
168;p;п;12;0
169;dear;дорогая;60;-10
170;specific;конкретный;110;0
171;bigger;больше;13;1
172;flexible;;6;0
173;special;специальный;31;0
174;direct;непосредственный;15;0
175;complex;сложный;25;-1
176;false;ложный;271;-1
177;key;ключ;60;0
178;simple;просто;141;0
179;bad;плохой;12;-10
180;component;составная часть;16;0
181;successfully;успешно;20;1
182;several;несколько;95;0
183;later;потом;30;-1
184;latest;самый последний;39;1
185;long;долго;50;-1
186;officially;;1;0
187;no;нет;37;-1
188;longer;дольше;55;-1
189;older;старшая;14;-1
190;present;подарок;28;0
191;anywhere;в любом месте;13;0
192;non;не;54;-1
193;virtual;виртуальный;21;0
194;relatively;относительно;7;0
195;curious;;3;0
196;unknown;неизвестный;26;-10
197;twice;дважды;15;0
198;cant;;6;0
199;similar;аналогичный;117;0
200;sure;конечно;76;0
201;lucid;;1;0
202;difficult;сложно;28;-1
203;however;тем не мение;305;0
204;tree;дерево;43;0
205;too;тоже;92;0
206;slow;медленный;40;-1
207;huge;огромный;9;0
208;quite;довольно;45;1
209;previous;предыдущий;79;0
210;real;реальный;35;0
211;anyway;тем не мение;29;0
212;vertical;вертикальный;42;0
213;likely;скорее всего;10;0
214;unfortunately;к несчастью;44;-10
215;smart;умный;9;0
216;easy;легко;38;1
217;custom;обычай;72;1
218;elsewhere;в другом месте;7;0
219;own;своя;107;0
220;recent;недавний;9;0
221;such;такие;81;0
222;horizontal;горизонтальный;27;0
223;negative;отрицательный;14;-10
224;validated;;2;0
225;private;частный;53;0
226;object;объект;193;0
227;entered;поступил;7;0
228;specified;указанный;8;0
229;ahead;;3;0
230;well;Что ж;171;0
231;actual;фактический;43;1
232;actually;на самом деле;73;1
233;little;немного;47;-1
234;somewhat;;3;0
235;type;тип;38;0
236;dimensional;;3;0
237;constantly;;3;0
238;updated;обновленный;19;1
239;populated;;2;0
240;further;в дальнейшем;29;0
241;eventually;;5;0
242;finished;;1;0
243;automatically;автоматически;83;0
244;t;T;256;0
245;arrow;;6;0
246;logic;логика;10;0
247;afraid;;3;0
248;cellular;;1;0
249;input;;2;0
250;cannot;не могу;18;-10
251;register;;1;0
252;native;родные;85;0
253;global;Глобальный;19;0
254;e;е;97;0
255;normal;нормальный;60;1
256;black;черный;26;0
257;modal;;4;0
258;nice;отлично;42;1
259;particular;конкретный;41;0
260;text;текст;94;0
261;clearly;явно;13;1
262;fourth;;3;0
263;unclear;неясно;9;0
264;easily;без труда;22;1
265;accordingly;соответственно;13;1
266;consistent;;5;0
267;pretty;хорошенький;13;10
268;behavior;поведение;15;0
269;useful;полезным;23;1
270;particularly;;5;0
271;extraordinarily;;1;0
272;painful;;1;0
273;template;шаблон;18;0
274;globally;;4;0
275;typically;;3;0
276;rather;скорее;56;1
277;wondered;;1;0
278;inconvenient;;3;0
279;available;имеется в наличии;91;1
280;compact;компактный;8;0
281;accessible;;4;0
282;discrete;;2;0
283;completely;полностью;33;0
284;reliably;;5;0
285;super;;5;0
286;relative;родственник;9;0
287;simplified;упрощенный;7;0
288;nicely;мило;13;1
289;far;далеко;69;-1
290;net;сеть;150;0
291;unable;не в состоянии;61;-1
292;extreme;экстремальный;12;-1
293;angular;угловая;101;0
294;flow;;2;0
295;dynamically;динамично;55;0
296;retained;;1;0
297;inexperienced;;2;0
298;mainly;в основном;8;0
299;ordinary;;1;0
300;somehow;как-то;22;0
301;horizontally;по горизонтали;23;0
302;vertically;вертикально;13;0
303;never;никогда;64;-1
304;safe;;6;0
305;unused;;4;0
306;obviously;очевидно;22;1
307;remotely;;2;0
308;important;важный;35;1
309;hide;скрывать;7;0
310;end;конец;9;0
311;need;;6;0
312;plus;;3;0
313;document;документ;23;0
314;occasionally;;2;0
315;quickly;быстро;20;0
316;maybe;может быть;79;-1
317;together;все вместе;36;0
318;ribbon;;3;0
319;failed;;2;0
320;therefore;следовательно;18;0
321;regular;регулярный;30;1
322;quick;быстрый;24;1
323;toast;;5;0
324;above;выше;41;0
325;didn;А не было;10;0
326;lower;ниже;13;-1
327;common;общий;29;0
328;up;вверх;34;0
329;modern;;5;0
330;columns;столбцы;39;0
331;immediately;немедленно;21;-10
332;solution;;2;0
333;unintentionally;;1;0
334;explicitly;эксплицитно;13;0
335;collapsed;развалился;11;-1
336;usually;обычно;19;-1
337;expanded;расширенный;9;0
338;virtually;;1;0
339;specifically;конкретно;22;0
340;select;Выбрать;58;0
341;selected;выбранный;19;0
342;certainly;;6;0
343;confusing;;6;0
344;intuitive;;3;0
345;summary;резюме;77;0
346;otherwise;иначе;15;-1
347;namely;а именно;7;0
348;recently;относительно недавно;37;0
349;temporary;временный;8;0
350;intermediate;;3;0
351;unnecessary;ненужный;7;0
352;obvious;;6;0
353;great;отличный;39;1
354;smooth;;1;0
355;persistent;стойкий;42;1
356;submit;;4;0
357;sufficient;;6;0
358;item;;6;0
359;finally;в конце концов;17;0
360;content;содержание;31;0
361;collapsible;;4;0
362;click;щелчок;51;0
363;suggested;;4;0
364;sub;суб;23;0
365;curiously;;1;0
366;monthly;;4;0
367;adjacent;;2;0
368;left;оставил;36;-1
369;few;мало;81;-1
370;model;;2;0
371;settings;настройки;8;0
372;appointment;деловое свидание, встреча;20;1
373;stumbling;;1;0
374;extensively;;2;0
375;nowhere;;3;0
376;null;ноль;143;0
377;because;так как;7;0
378;treat;;1;0
379;edited;;4;0
380;side;боковая сторона;10;0
381;green;зеленый;23;1
382;white;белый;40;0
383;hopefully;;6;0
384;potential;;1;0
385;stored;хранится;26;0
386;earlier;ранее;14;-1
387;landscape;;1;0
388;slightly;немного;7;0
389;internally;;1;0
390;static;статический;46;0
391;hidden;скрытый;29;0
392;haven;убежище;7;0
393;detailed;подробный;10;0
394;greatly;значительно;23;1
395;probably;наверное;19;-1
396;proper;правильный;26;0
397;excel;превосходить;40;0
398;sheet;;2;0
399;screen;экран;28;0
400;dispose;;4;0
401;complete;полный;29;1
402;void;недействительным;21;-1
403;name;название;33;0
404;else;еще;60;0
405;invisible;невидимый;33;0
406;internal;внутренний;72;0
407;extremely;;6;0
408;helpful;полезный;12;1
409;enough;довольно;29;1
410;especially;особенно;19;-1
411;individual;индивидуальный;18;1
412;seem;;1;0
413;align;;2;0
414;close;близко;59;-1
415;brief;;3;0
416;basic;основной;27;0
417;forward;вперед;16;0
418;resolved;;2;0
419;wide;широкий;15;0
420;efficient;;6;0
421;windows;окна;18;0
422;preferred;;4;0
423;ago;тому назад;22;0
424;win;выиграть;16;1
425;datum;;1;0
426;inclusive;;1;0
427;grand;большой;13;1
428;code;код;16;0
429;min;;4;0
430;attribute;;5;0
431;declare;;2;0
432;necessary;необходимо;34;-1
433;normalized;;2;0
434;perfectly;в совершенстве;30;1
435;attachment;прикрепление;47;0
436;serial;;1;0
437;corresponding;соответствующий;17;1
438;prior;предшествующий;13;0
439;simply;просто;46;1
440;cancel;;5;0
441;closely;;4;0
442;dashboard;приборная доска;31;0
443;often;довольно часто;18;1
444;unstable;;2;0
445;third;в третьих;20;0
446;thank;;5;0
447;general;генеральный;25;0
448;medical;;6;0
449;manually;вручную;71;-1
450;patient;;5;0
451;b;;5;0
452;start;Начните;12;0
453;preview;;3;0
454;alone;;3;0
455;around;вокруг;17;0
456;slowly;;5;0
457;purple;;3;0
458;bottom;низ;22;0
459;default;;2;0
460;run;бежать;9;0
461;team;;6;0
462;checked;проверено;21;1
463;lunch;;3;0
464;format;формат;25;0
465;stream;;6;0
466;remove;;2;0
467;string;строка;9;0
468;drag;тащить, тянуть;16;-1
469;tip;;1;0
470;rarely;;2;0
471;safari;;5;0
472;data;;5;0
473;xxxx;;3;0
474;sometimes;иногда;42;-1
475;thereby;;3;0
476;bold;смелый;14;1
477;recursive;;5;0
478;width;ширина;53;0
479;easier;Полегче;15;1
480;print;;6;0
481;free;свободно;24;1
482;graphic;;5;0
483;visually;визуально;9;0
484;occasional;;2;0
485;interrupt;;1;0
486;before;;2;0
487;window;окно;12;0
488;viewer;;4;0
489;un;;4;0
490;installed;установлены;7;0
491;hence;;3;0
492;names;;3;0
493;unlikely;;1;0
494;somewhere;где-то;14;0
495;binding;;1;0
496;dimension;;1;0
497;wizard;волшебник;7;0
498;grateful;;1;0
499;choose;;5;0
500;objective;;1;0
501;expression;;2;0
502;exported;;5;0
503;generated;генерироваться;11;0
504;dynamic;динамический;28;0
505;upgrade;Обновить;10;0
506;slower;;5;0
507;frozen;;4;0
508;daily;;5;0
509;weekly;;1;0
510;yearly;;1;0
511;kindly;любезно;27;1
512;urgent;срочный;12;-1
513;stop;;3;0
514;dim;тусклый;14;-1
515;ever;Когда-либо;15;0
516;speed;;1;0
517;call;;6;0
518;function;;5;0
519;anymore;больше не;36;0
520;subject;предмет;8;0
521;ionic;;2;0
522;calculate;;2;0
523;normally;обычно;25;1
524;solid;твердый;11;1
525;undefined;не определено;24;-10
526;honestly;;1;0
527;nil;;3;0
528;individually;в отдельности;9;0
529;tedious;;2;0
530;low;низкий;8;0
531;ask;;1;0
532;yellow;желтый;15;1
533;greater;;6;0
534;unspecified;;4;0
535;neutral;нейтральный;25;0
536;verb;;1;0
537;clear;Чисто;76;1
538;compatible;совместимый;13;0
539;theme;тема;11;0
540;thrown;;3;0
541;execute;выполнять;11;0
542;error;ошибка;16;-10
543;flags;;2;0
544;high;высоко;15;1
545;trust;;1;0
546;modified;модифицированный;11;1
547;blue;синий;10;0
548;pivot;стержень;9;0
549;file;файл;20;0
550;everywhere;;5;0
551;saved;сохранены;8;0
552;fit;поместиться;7;0
553;genuine;;1;0
554;clicked;щелкнул;7;0
555;allow;разрешать;8;0
556;lead;;2;0
557;worksheet;;3;0
558;smaller;меньше;14;-1
559;perfect;идеально;14;10
560;thread;нить;9;0
561;bit;;5;0
562;busy;;3;0
563;aware;знать;19;1
564;extended;;6;0
565;anonymous;анонимный;31;0
566;o;о;7;0
567;library;библиотека;11;0
568;prototype;;3;0
569;n;N;48;0
570;h;;6;0
571;naming;;1;0
572;sometime;;6;0
573;unsupported;;5;0
574;corrupt;;1;0
575;late;поздно;7;0
576;useless;;3;0
577;send;;2;0
578;larger;больше;23;1
579;locale;;2;0
580;tile;;5;0
581;tool;;4;0
582;designer;;1;0
583;localize;;1;0
584;feedback;;2;0
585;generate;;4;0
586;legend;легенда;10;0
587;upper;верхний;16;1
588;endlessly;;2;0
589;see;увидеть;10;0
590;decimal;десятичный;18;0
591;pattern;;5;0
592;grey;;4;0
593;infrequent;;1;0
594;exactly;именно так;37;1
595;like;лайк;21;0
596;forms;;3;0
597;destroy;;3;0
598;constant;;3;0
599;gray;серый;13;0
600;find;;6;0
601;away;далеко;22;0
602;invoked;;2;0
603;usable;;4;0
604;happy;счастливый;9;0
605;fixed;фиксированный;21;1
606;displayed;отображается;10;0
607;delegate;;6;0
608;y;Y;23;0
609;essentially;по существу;8;0
610;skin;;3;0
611;isolated;;2;0
612;recurring;;1;0
613;process;;2;0
614;interval;;3;0
615;possibly;возможно;7;0
616;known;известен;11;1
617;routine;;6;0
618;yes;да;10;0
619;chrome;хром;14;0
620;inside;внутри;16;0
621;alternatively;;4;0
622;hover;;2;0
623;element;;6;0
624;cover;;2;0
625;stupid;;1;0
626;meaningful;;2;0
627;qualitative;;3;0
628;ideal;;2;0
629;appreciated;оценили;22;0
630;about;около;7;0
631;added;добавленной;8;0
632;dirty;;1;0
633;form;форма;14;0
634;associated;связанный;9;0
635;script;скрипт;16;0
636;vs;против;13;0
637;exclude;;1;0
638;purpose;;5;0
639;uncomfortable;;1;0
640;include;;3;0
641;supplemental;;1;0
642;unresolved;;1;0
643;light;свет;12;0
644;incredibly;;1;0
645;insert;вставить;17;0
646;recommended;рекомендуемые;11;1
647;separately;по отдельности;9;0
648;build;строить;14;0
649;scramble;;1;0
650;menu;меню;17;0
651;worked;;3;0
652;classic;классический;7;0
653;adequately;;1;0
654;ideally;в идеале;22;1
655;future;будущее;11;0
656;randomly;случайным образом;10;0
657;idle;;3;0
658;remote;дистанционный пульт;17;0
659;child;ребенок;15;0
660;previously;предварительно;30;1
661;pie;пирог;11;0
662;optional;необязательный;7;0
663;safely;;4;0
664;desired;желательно;20;-1
665;identically;;1;0
666;token;;5;0
667;alternately;;2;0
668;necessarily;;3;0
669;continuously;непрерывно;7;0
670;inherited;унаследованный;7;0
671;wider;;5;0
672;parameter;;4;0
673;whit;;1;0
674;effectively;;6;0
675;straight;;6;0
676;read;читать;14;0
677;title;заглавие;14;0
678;list;список;14;0
679;incremental;дополнительный;10;0
680;matched;;1;0
681;hard;жесткий;24;1
682;entirely;полностью;10;0
683;computed;;7;0
684;physical;;2;0
685;partially;частично;10;0
686;technical;;3;0
687;memo;;2;0
688;minimum;;5;0
689;working;за работой;10;0
690;create;Создайте;11;0
691;define;;5;0
692;presentable;;1;0
693;combine;;4;0
694;dictionary;толковый словарь;19;0
695;array;;4;0
696;locally;;4;0
697;enabled;включен;15;0
698;support;служба поддержки;10;0
699;latter;;2;0
700;animated;;2;0
701;don;дон;10;0
702;raw;;4;0
703;derived;;2;0
704;pasted;;2;0
705;numerous;;6;0
706;do;делать;15;0
707;amazing;;2;0
708;consist;;2;0
709;maximized;;1;0
710;generally;;5;0
711;reasonably;;3;0
712;display;;6;0
713;inner;внутренний;9;0
714;alphabetical;;2;0
715;clue;;2;0
716;recurrent;;2;0
717;average;;6;0
718;sum;;6;0
719;limited;;2;0
720;eventual;;1;0
721;show;;4;0
722;okay;;2;0
723;productive;;3;0
724;diagnostic;;2;0
725;g;г;27;0
726;attach;;1;0
727;initially;первоначально;22;0
728;re;ре;10;0
729;poor;;4;0
730;largest;;2;0
731;advise;консультировать;10;0
732;alignment;;3;0
733;replaced;;3;0
734;clean;;5;0
735;complicated;;1;0
736;deployed;;3;0
737;problematic;;7;0
738;convenient;;3;0
739;maximum;максимальная;12;1
740;applied;;6;0
741;ideas;;2;0
742;folder;;3;0
743;unavailable;;2;0
744;lo;;2;0
745;smallest;;2;0
746;scale;;6;0
747;broken;;4;0
748;abstract;;2;0
749;strip;;4;0
750;typical;;3;0
751;out;;3;0
752;boundary;;2;0
753;logical;;4;0
754;range;;2;0
755;mouse;;4;0
756;alternative;альтернатива;8;0
757;hot;;6;0
758;narrower;;2;0
759;suddenly;;4;0
760;tiny;крошечный;8;0
761;ridiculously;;1;0
762;fix;фиксировать;8;0
763;defined;;6;0
764;page;;6;0
765;unified;;1;0
766;warm;;1;0
767;accept;;4;0
768;integer;;2;0
769;developed;;1;0
770;underlying;;7;0
771;assembly;сборка;15;0
772;level;;4;0
773;external;внешний;11;0
774;confused;;1;0
775;lookup;уважать;11;0
776;lose;;1;0
777;infinite;;3;0
778;mentioned;;1;0
779;early;;6;0
780;shorter;;4;0
781;millimeter;;1;0
782;crisp;;1;0
783;rich;богатые;15;1
784;removed;;1;0
785;closest;;6;0
786;usual;;6;0
787;needlessly;;1;0
788;weekday;;1;0
789;varied;;1;0
790;variant;;1;0
791;friendly;;5;0
792;reasonable;;2;0
793;report;;4;0
794;used;;5;0
795;grouped;группироваться;24;0
796;aggregate;;1;0
797;capable;;3;0
798;mm;;5;0
799;keyboard;;4;0
800;seemingly;;1;0
801;random;случайный;11;0
802;emptied;;1;0
803;upgraded;;4;0
804;successive;;2;0
805;darkened;;1;0
806;highlight;;2;0
807;differently;по-другому;9;0
808;pages;;1;0
809;readable;;5;0
810;lighter;;2;0
811;nest;;1;0
