word;frequency;sentiment
def;2;0;
madam;1;0;
notice;4;0;
unacceptable;3;0;
project;4;0;
fill;4;0;
rubbish;1;0;
spread;2;0;
suitable;7;0;
through;1;0;
conditional;11;0;
overloaded;1;0;
sensitive;5;0;
draw;5;0;
diagram;8;0;
moreover;1;0;
minor;10;0;
unbound;25;0;
convert;3;0;
scaled;3;0;
major;10;0;
render;2;0;
flat;6;0;
overridden;2;0;
lazy;11;0;
loaded;4;0;
sluggish;1;0;
colorful;7;0;
easiest;3;0;
sir;5;0;
tail;1;0;
tried;10;0;
center;3;0;
stacked;10;0;
dumb;1;0;
earliest;2;0;
fully;13;0;
closed;4;0;
secondary;8;0;
loops;1;0;
incorrect;14;0;
ignore;1;0;
axis;5;0;
sudden;1;0;
lesson;1;0;
human;2;0;
approximately;2;0;
contain;1;0;
effective;4;0;
compile;6;0;
unlocked;7;0;
locked;2;0;
repository;9;0;
urban;1;0;
indicator;3;0;
rebound;1;0;
afterward;1;0;
teacher;1;0;
denied;1;0;
eastern;1;0;
central;2;0;
restore;1;0;
restored;1;0;
literally;1;0;
appropriately;4;0;
interesting;8;0;
cell;2;0;
prepare;1;0;
steal;1;0;
core;4;0;
charts;1;0;
sl;1;0;
consistently;3;0;
identical;7;0;
immediate;4;0;
silly;2;0;
accidentally;3;0;
mobile;38;0;
trivial;3;0;
funnel;1;0;
callable;1;0;
material;5;0;
observable;12;0;
definitely;2;0;
intact;1;0;
disposed;2;0;
driver;3;0;
middle;5;0;
handy;2;0;
queried;2;0;
practical;3;0;
dark;9;0;
suggest;10;0;
specially;3;0;
past;9;0;
penultimate;1;0;
crazy;6;0;
immutable;1;0;
appreciate;3;0;
quickest;1;0;
persist;1;0;
achieve;4;0;
executed;3;0;
tight;1;0;
newest;3;0;
highest;5;0;
taller;1;0;
oddly;1;0;
feels;2;0;
hack;1;0;
export;3;0;
shot;3;0;
radio;1;0;
opened;2;0;
weirdly;1;0;
unexpected;7;0;
secondly;6;0;
purely;4;0;
lastly;2;0;
plain;3;0;
unrecognized;2;0;
uncommon;1;0;
arbitrary;1;0;
concurrent;1;0;
universal;4;0;
desirable;2;0;
sizes;1;0;
primitive;1;0;
thin;3;0;
heavy;3;0;
secret;1;0;
pro;5;0;
precise;4;0;
feasible;1;0;
dapper;1;0;
test;6;0;
filtered;9;0;
expandable;3;0;
press;1;0;
roughly;3;0;
broad;1;0;
fortunately;1;0;
gracefully;2;0;
quirk;1;0;
unofficial;1;0;
supported;6;0;
shortly;1;0;
externally;1;0;
r;4;0;
final;14;0;
record;1;0;
stretch;1;0;
solely;1;0;
inherently;1;0;
header;5;0;
unique;14;0;
express;10;0;
pointer;1;0;
strangely;3;0;
simulate;1;0;
therefor;2;0;
luck;2;0;
transparent;3;0;
procedure;2;0;
spell;3;0;
appear;2;0;
equality;1;0;
registered;3;0;
timely;1;0;
cleared;1;0;
vise;1;0;
compressed;1;0;
uncontrollable;2;0;
spin;1;0;
imperial;1;0;
self;1;0;
absolute;3;0;
shared;3;0;
fastest;2;0;
chronological;1;0;
faster;7;0;
equally;1;0;
inaccessible;2;0;
provided;3;0;
tag;3;0;
centered;1;0;
combo;4;0;
extensive;2;0;
financial;2;0;
mean;2;0;
shortest;1;0;
neat;2;0;
trigger;2;0;
needless;1;0;
ultimately;2;0;
determined;1;0;
design;4;0;
named;3;0;
flip;1;0;
partly;1;0;
substitute;1;0;
below;4;0;
foreign;12;0;
continuous;7;0;
manly;1;0;
bale;1;0;
forever;3;0;
presently;2;0;
guest;2;0;
persisted;1;0;
doc;9;0;
scheduled;1;0;
frank;2;0;
wrapper;1;0;
changed;2;0;
origin;2;0;
adjustable;1;0;
guide;2;0;
setup;3;0;
substantial;1;0;
quota;1;0;
wheel;2;0;
spiral;1;0;
near;2;0;
satisfactory;2;0;
incomplete;1;0;
equivalent;3;0;
logs;1;0;
suspend;1;0;
closer;2;0;
printable;1;0;
wanted;4;0;
sorry;4;0;
filtering;3;0;
write;8;0;
accepted;1;0;
builtin;1;0;
minus;1;0;
thereafter;1;0;
understandable;1;0;
elegant;4;0;
implement;4;0;
outside;3;0;
united;4;0;
messy;2;0;
deferred;1;0;
blob;2;0;
explorer;2;0;
sporadic;1;0;
dependent;3;0;
surface;1;0;
manifest;5;0;
stack;5;0;
half;2;0;
unfriendly;2;0;
matrix;1;0;
longest;3;0;
sole;1;0;
additionally;5;0;
understandably;1;0;
change;3;0;
pity;1;0;
absolutely;5;0;
proverbial;1;0;
oldest;1;0;
listed;2;0;
produced;1;0;
grouping;1;0;
activated;3;0;
merge;1;0;
percent;3;0;
length;2;0;
snap;13;0;
memory;2;0;
give;1;0;
descendant;3;0;
exciting;1;0;
sliding;1;0;
matter;1;0;
modular;2;0;
subsequent;3;0;
rotated;1;0;
wrongly;2;0;
tentative;1;0;
missed;1;0;
brush;1;0;
trunk;1;0;
urgently;1;0;
wait;4;0;
switched;1;0;
logger;3;0;
outer;2;0;
cumbersome;1;0;
fundamental;1;0;
scheduling;1;0;
viable;1;0;
wish;5;0;
fatal;3;0;
satellite;2;0;
front;5;0;
decrement;2;0;
link;2;0;
john;1;0;
highly;2;0;
marked;3;0;
unload;2;0;
float;3;0;
simplest;1;0;
unobtrusive;5;0;
se;2;0;
secured;1;0;
worse;5;0;
sincerely;5;0;
manual;10;0;
assist;2;0;
root;4;0;
assembled;1;0;
consequently;3;0;
rear;1;0;
diameter;2;0;
proxy;2;0;
navigation;2;0;
backward;1;0;
fire;2;0;
ugly;4;0;
acceptable;4;0;
newer;5;0;
truncated;3;0;
guys;2;0;
fade;1;0;
outstanding;1;0;
indeed;8;0;
port;2;0;
whatsoever;3;0;
strictly;1;0;
narrow;2;0;
visited;1;0;
have;1;0;
significantly;1;0;
unrelated;2;0;
lightly;1;0;
bound;1;0;
commercial;4;0;
deep;3;0;
applying;1;0;
post;1;0;
method;5;0;
map;2;0;
das;1;0;
responsive;9;0;
directory;6;0;
respective;4;0;
dash;2;0;
uniquely;1;0;
mathematical;2;0;
dual;1;0;
rendered;2;0;
dispatched;1;0;
ordered;1;0;
declared;3;0;
implemented;2;0;
schematic;1;0;
diverse;1;0;
stable;1;0;
plotted;1;0;
indeterminate;3;0;
mix;1;0;
costly;1;0;
parent;1;0;
fifty;2;0;
throw;3;0;
break;2;0;
box;5;0;
separated;1;0;
applicable;4;0;
tenant;1;0;
none;1;0;
nicer;5;0;
redundant;2;0;
lesser;1;0;
excessive;2;0;
inefficient;2;0;
exploded;1;0;
needed;2;0;
funny;1;0;
respectively;2;0;
paging;2;0;
undo;3;0;
successful;8;0;
regards;1;0;
logically;2;0;
granted;1;0;
abandoned;1;0;
inactive;4;0;
considerable;1;0;
writer;3;0;
banded;3;0;
drastically;1;0;
linear;4;0;
regularly;1;0;
intentional;1;0;
hex;1;0;
awful;1;0;
resulting;1;0;
inconsistent;1;0;
lousy;1;0;
troublesome;1;0;
beautiful;2;0;
want;1;0;
notification;1;0;
suppose;4;0;
along;2;0;
query;5;0;
follow;3;0;
os;4;0;
pressed;3;0;
satisfied;1;0;
unexpectedly;2;0;
built;1;0;
youthful;1;0;
log;3;0;
trim;3;0;
control;3;0;
spark;1;0;
attentive;1;0;
leave;1;0;
worth;3;0;
scaffolding;2;0;
fail;3;0;
fake;1;0;
dashed;5;0;
hourly;2;0;
controller;1;0;
existent;1;0;
inverted;1;0;
enter;7;0;
badly;1;0;
compare;1;0;
awesome;7;0;
ticked;1;0;
acknowledge;1;0;
unacknowledged;1;0;
wil;1;0;
checking;1;0;
leaf;1;0;
commented;1;0;
mixed;4;0;
works;1;0;
pinch;1;0;
alongside;1;0;
crucial;1;0;
permanently;2;0;
syntax;2;0;
natural;1;0;
preflight;1;0;
progress;1;0;
circular;2;0;
note;1;0;
personal;3;0;
broader;1;0;
inserted;5;0;
connect;1;0;
leak;3;0;
printed;1;0;
equivalence;1;0;
unusual;1;0;
cluttered;1;0;
professional;2;0;
totally;4;0;
independently;3;0;
painfully;1;0;
dynamical;1;0;
mistakenly;1;0;
disruptive;1;0;
override;3;0;
couple;1;0;
le;2;0;
groped;1;0;
social;4;0;
illegal;3;0;
instantly;4;0;
distinct;3;0;
refreshed;1;0;
copy;1;0;
slight;1;0;
margin;1;0;
everybody;1;0;
minute;1;0;
die;1;0;
ist;1;0;
boot;1;0;
optimistic;1;0;
appraisal;2;0;
heavily;2;0;
behind;1;0;
notify;3;0;
widest;1;0;
license;1;0;
stamp;3;0;
schedule;1;0;
marker;1;0;
dig;2;0;
strict;2;0;
con;1;0;
point;1;0;
drop;1;0;
deliberately;1;0;
card;1;0;
responsible;4;0;
permanent;3;0;
exclusively;2;0;
excited;2;0;
eleven;1;0;
assign;2;0;
menus;1;0;
assigned;3;0;
administrative;2;0;
missing;1;0;
validating;1;0;
portal;1;0;
piece;1;0;
surely;1;0;
complementary;1;0;
duplicate;2;0;
precisely;2;0;
device;1;0;
thickness;2;0;
nevertheless;1;0;
delayed;2;0;
regardless;3;0;
sent;1;0;
frequently;4;0;
parallel;1;0;
preferably;3;0;
started;1;0;
make;1;0;
incident;1;0;
span;1;0;
rid;8;0;
appreciative;1;0;
describe;1;0;
graceful;1;0;
corrupted;1;0;
understand;3;0;
functional;3;0;
rapidly;1;0;
athlete;1;0;
whatever;1;0;
fired;2;0;
china;1;0;
labels;1;0;
tiles;1;0;
layout;4;0;
concerned;1;0;
widespread;1;0;
voluntarily;1;0;
alive;2;0;
stuff;1;0;
bounded;2;0;
locking;2;0;
happen;4;0;
underlined;2;0;
occupied;1;0;
over;4;0;
expensive;1;0;
willing;1;0;
advice;2;0;
theirs;1;0;
sort;2;0;
unknowingly;1;0;
thoroughly;1;0;
panels;1;0;
unwanted;2;0;
adequate;1;0;
endless;1;0;
rows;3;0;
nodes;1;0;
usage;2;0;
unmodified;1;0;
cleanly;1;0;
mandatory;6;0;
underline;1;0;
unbounded;1;0;
video;2;0;
steep;1;0;
unlimited;1;0;
impressive;1;0;
worried;2;0;
minimally;1;0;
frame;2;0;
affect;4;0;
trace;2;0;
interested;6;0;
industrial;1;0;
searching;1;0;
fancy;1;0;
contiguous;2;0;
files;1;0;
radial;3;0;
running;2;0;
implicit;3;0;
docked;1;0;
loose;1;0;
lightness;1;0;
animate;1;0;
stops;1;0;
become;1;0;
frustrating;2;0;
cross;1;0;
layer;3;0;
redirect;1;0;
alias;3;0;
texts;3;0;
worst;2;0;
unpredictable;1;0;
detect;1;0;
digit;1;0;
conveniently;1;0;
litle;1;0;
reopen;2;0;
reproducible;4;0;
obscure;1;0;
untouched;1;0;
potentially;3;0;
spaced;1;0;
visibly;1;0;
technically;1;0;
indirectly;1;0;
off;1;0;
account;1;0;
apparently;3;0;
crash;1;0;
argument;3;0;
improperly;1;0;
sofa;1;0;
whereas;1;0;
thicker;1;0;
vast;1;0;
appearance;1;0;
efficiently;1;0;
relational;1;0;
collect;1;0;
apt;2;0;
needle;8;0;
alternate;1;0;
accurate;1;0;
grammatically;1;0;
unloaded;1;0;
associate;2;0;
official;1;0;
gather;1;0;
anchored;2;0;
explicit;2;0;
unchanged;2;0;
unpaid;1;0;
incompatible;1;0;
measurement;1;0;
suite;2;0;
indefinitely;1;0;
listening;1;0;
unsuccessful;1;0;
useable;1;0;
drastic;1;0;
nearest;1;0;
times;1;0;
opposite;2;0;
rectangle;2;0;
minimal;1;0;
arabic;2;0;
simultaneously;2;0;
repeated;1;0;
longshot;1;0;
biggest;2;0;
container;1;0;
introduced;1;0;
directive;1;0;
suffix;1;0;
aligned;3;0;
l;2;0;
matching;1;0;
disappear;2;0;
freshly;1;0;
found;1;0;
respondent;1;0;
requirement;1;0;
understanding;3;0;
truly;1;0;
lime;2;0;
married;1;0;
chosen;2;0;
unifying;1;0;
reliable;2;0;
application;1;0;
step;1;0;
let;1;0;
cleaner;1;0;
vous;1;0;
pour;1;0;
est;3;0;
une;1;0;
digital;1;0;
anytime;3;0;
rebuild;1;0;
dedicated;1;0;
dropped;1;0;
bower;2;0;
similarly;4;0;
blurry;1;0;
preparatory;1;0;
compress;1;0;
fewer;1;0;
skipped;1;0;
dead;1;0;
freezes;1;0;
request;1;0;
bellow;1;0;
periodically;1;0;
scalar;1;0;
embedded;2;0;
analogous;1;0;
drill;1;0;
female;1;0;
result;1;0;
integrate;1;0;
reproduce;1;0;
publish;4;0;
all;1;0;
underlining;1;0;
freely;1;0;
feel;1;0;
massive;1;0;
lowest;1;0;
naturally;1;0;
stubbornly;1;0;
questionable;1;0;
pen;3;0;
whichever;1;0;
avoid;1;0;
automated;1;0;
allowed;1;0;
cool;2;0;
anew;1;0;
straightforward;1;0;
clearer;2;0;
winded;1;0;
smallish;1;0;
shifts;1;0;
terminal;1;0;
across;1;0;
frustrated;1;0;
depth;1;0;
reserved;1;0;
sharp;2;0;
per;1;0;
volatile;1;0;
nervous;1;0;
wired;2;0;
perplexing;1;0;
scientific;1;0;
extraneous;1;0;
finish;1;0;
simpler;1;0;
formula;1;0;
fifth;1;0;
favorite;1;0;
received;1;0;
profile;1;0;
ther;2;0;
restful;1;0;
ultimate;1;0;
sadly;1;0;
agree;1;0;
fabric;1;0;
inseparable;1;0;
misbehavior;1;0;
conventional;1;0;
essential;1;0;
stick;1;0;
halfway;1;0;
phantom;1;0;
dummy;3;0;
achieving;1;0;
perpetual;1;0;
touchdown;1;0;
nearby;1;0;
triangular;1;0;
sizeable;1;0;
elegantly;1;0;
illogical;1;0;
whopping;1;0;
elemental;1;0;
included;2;0;
retrieved;1;0;
legislative;1;0;
licensed;1;0;
expired;1;0;
rightful;1;0;
progressive;1;0;
explained;1;0;
formulas;1;0;
k;1;0;
hybrid;2;0;
handle;1;0;
slim;1;0;
vital;1;0;
categorical;1;0;
simultaneous;1;0;
scaffold;2;0;
workable;1;0;
created;1;0;
valuable;1;0;
navigator;1;0;
pipe;1;0;
behaviour;2;0;
fresh;1;0;
realistic;1;0;
contrast;1;0;
deactivated;1;0;
integrated;2;0;
awkward;2;0;
smoother;1;0;
enormous;1;0;
bright;1;0;
scenarios;1;0;
desperately;2;0;
char;1;0;
mapping;1;0;
la;1;0;
farthest;1;0;
confident;1;0;
subscribe;1;0;
threading;1;0;
showing;1;0;
frankly;1;0;
master;3;0;
definitive;1;0;
bread;1;0;
respectfully;1;0;
utterly;1;0;
mine;1;0;
trimming;1;0;
undesirable;1;0;
en;2;0;
weaker;1;0;
set;2;0;
navigate;1;0;
titled;1;0;
math;1;0;
conversely;1;0;
crystal;7;0;
primarily;1;0;
tables;1;0;
subsequently;1;0;
immensely;1;0;
urgency;1;0;
upgrading;1;0;
undeclared;1;0;
begin;1;0;
shadow;1;0;
described;1;0;
electronic;1;0;
split;1;0;
um;1;0;
em;10;0;
journal;5;0;
extrapolate;1;0;
mad;3;0;
prop;1;0;
appended;1;0;
eagerly;1;0;
topmost;1;0;
incidentally;1;0;
thumb;1;0;
narrator;1;0;
localized;1;0;
framework;1;0;
supporter;1;0;
rounded;1;0;
